Practice,Outcome,Observations,Studies,Sites,Value,CIlow,CIhigh,Perc,Perc.CIlow,Perc.CIhigh,Sig,SigLab,Pracs_by_Out,Outs_by_Prac
Residue/Mulch,Cost,174,35,32,0.08608,0.02726,0.1449,9.19554,2.9579,15.81107,0.0074,**,21,4
Reduced Tillage+Residue/Mulch,Cost,64,22,24,-0.14665,-0.2679,-0.0254,-13.62311,-23.48627,-2.48851,0.02656,*,21,4
Reduced Irrigation+Reduced Tillage+Residue/Mulch,Cost,19,5,5,-0.23511,-0.44541,-0.02481,-18.27171,-33.77221,0.85665,0.08385,"",21,4
Reduced Irrigation+Reduced Tillage,Cost,61,13,16,-0.12867,-0.19699,-0.06036,-10.78223,-16.67404,-4.47479,0.00048,**,21,4
Reduced Tillage+Residue/Mulch,Profit,101,26,29,0.21072,-0.11788,0.53933,26.22616,-9.12589,75.33268,0.21893,"",18,4
Reduced Irrigation+Reduced Tillage+Residue/Mulch,Profit,19,5,5,0.09092,-0.14995,0.33179,16.77864,-8.21855,48.58396,0.46897,"",18,4
Reduced Irrigation+Reduced Tillage,Profit,65,14,17,0.11119,0.02015,0.20224,12.39621,2.61562,23.11024,0.02868,*,18,4
Residue/Mulch,Profit,251,42,42,0.12813,0.01636,0.23991,15.98666,3.72106,29.70403,0.03082,*,18,4
All Nbs,Cost,1566,156,164,0.06153,0.00549,0.11757,7.02262,1.19003,13.1914,0.03287,*,21,5
All Nbs,Profit,2040,180,208,0.17568,0.09084,0.26052,21.18038,11.32348,31.91004,0.00007,**,18,5
Organic Fert,Profit,129,20,28,0.38459,0.16947,0.59972,48.87398,20.05863,84.60717,0.00159,**,18,4
Reduced Fert+Organic Fert,Profit,52,9,12,-0.12648,-0.45494,0.20198,-7.41333,-33.33466,28.58693,0.46601,"",18,4
All Nbs,Gross Revenue,1431,137,145,0.16156,0.09651,0.22662,18.83015,11.3463,26.81828,0,**,20,5
All Nbs,Benefit Cost Ratio,1836,137,152,0.01913,-0.04972,0.08798,2.41469,-4.3993,9.71435,0.5868,"",20,5
Residue/Mulch,Gross Revenue,161,30,27,0.18586,0.01418,0.35754,22.29794,3.00527,45.20408,0.04376,*,20,4
Residue/Mulch,Benefit Cost Ratio,229,29,26,-0.00197,-0.10285,0.09891,0.52186,-9.12407,11.19164,0.96979,"",20,4
Reduced Fert,Cost,276,33,37,-0.0549,-0.16484,0.05504,-5.20751,-15.07656,5.80843,0.33437,"",21,4
Reduced Fert+Organic Fert,Cost,39,10,10,0.07993,-0.04224,0.20209,9.0984,-3.44815,23.27408,0.23235,"",21,4
Reduced Fert+Residue/Mulch,Cost,16,3,3,-0.10064,-0.14366,-0.05761,-9.49499,-13.30596,-5.51556,0.13959,"",21,3
Reduced Fert,Gross Revenue,271,31,35,-0.01818,-0.1271,0.09073,-1.12809,-11.33146,10.24831,0.74553,"",20,4
Reduced Fert+Organic Fert,Gross Revenue,41,8,8,0.10942,0.03127,0.18757,11.67079,3.27602,20.74793,0.02889,*,20,4
Reduced Fert+Residue/Mulch,Gross Revenue,16,3,3,-0.09134,-0.36755,0.18487,-7.75019,-30.01435,21.59674,0.57907,"",20,3
Reduced Fert,Profit,317,37,43,-0.09868,-0.20646,0.0091,-8.53648,-17.88176,1.87231,0.0797,"",18,4
Reduced Fert,Benefit Cost Ratio,285,34,42,0.01654,-0.06694,0.10003,2.40445,-5.79717,11.32125,0.69977,"",20,4
Reduced Fert+Organic Fert,Benefit Cost Ratio,51,8,8,0.04218,-0.12307,0.20742,4.77552,-11.1837,23.60119,0.63259,"",20,4
Reduced Fert+Residue/Mulch,Benefit Cost Ratio,24,3,3,0.02026,-0.26301,0.30353,2.43262,-22.83583,35.97556,0.90106,"",20,3
Agroforestry,Gross Revenue,29,7,7,0.00982,-0.29895,0.31858,3.24401,-24.1828,40.59103,0.95211,"",20,4
Agroforestry,Cost,32,8,8,-0.21146,-0.78186,0.35894,-17.03281,-53.09871,46.76684,0.49044,"",21,4
Reduced Tillage,Cost,204,45,48,-0.11919,-0.18136,-0.05703,-11.17748,-16.53143,-5.48106,0.00048,**,21,3
Reduced Tillage,Gross Revenue,180,38,40,-0.03583,-0.07575,0.00408,-3.30853,-7.09242,0.62847,0.08638,"",20,3
Reduced Tillage,Benefit Cost Ratio,230,39,41,0.03632,-0.02746,0.1001,3.98849,-2.43682,10.83695,0.27096,"",20,3
Agroforestry,Benefit Cost Ratio,73,6,6,0.09445,-0.07854,0.26744,10.43589,-7.10729,31.29218,0.33065,"",20,4
Reduced Irrigation,Gross Revenue,91,15,18,0.02882,-0.04469,0.10233,3.10833,-4.19928,10.97336,0.45212,"",20,4
Reduced Irrigation+Reduced Tillage,Gross Revenue,55,10,13,0.01649,-0.02695,0.05993,1.84277,-2.48656,6.36432,0.47073,"",20,4
Reduced Irrigation,Profit,105,19,22,0.11393,-0.00042,0.22828,13.24744,1.01057,26.96674,0.06388,"",18,4
Reduced Irrigation,Benefit Cost Ratio,94,13,16,0.02549,-0.04484,0.09583,2.70905,-4.26632,10.19375,0.48803,"",20,4
Reduced Irrigation+Reduced Tillage,Benefit Cost Ratio,90,10,13,0.13494,0.06797,0.20191,15.09527,7.63977,23.06716,0.00178,**,20,4
Reduced Irrigation,Cost,95,17,20,0.00553,-0.06949,0.08055,0.58018,-6.68926,8.41595,0.88664,"",21,4
Organic Fert,Cost,90,15,15,0.45317,0.12533,0.781,57.95184,13.80087,119.22973,0.0169,*,21,4
Organic Fert,Gross Revenue,95,15,15,0.60652,0.29042,0.92262,84.24754,34.31398,152.74478,0.0021,**,20,4
Organic Fert,Benefit Cost Ratio,126,17,20,0.10065,-0.03193,0.23324,11.38305,-2.44706,27.17514,0.15292,"",20,4
Intercropping+Rotation,Gross Revenue,7,3,3,0.64974,0.30659,0.99289,103.143,44.13642,186.30572,0.00357,**,20,4
Intercropping+Rotation,Cost,8,4,4,0.23025,-0.26218,0.72269,51.37197,-7.49061,147.69055,0.30542,"",21,4
Intercropping+Rotation,Profit,9,4,4,0.42103,-0.1537,0.99577,98.38313,11.6613,252.46107,0.12963,"",18,4
Intercropping+Rotation,Benefit Cost Ratio,12,3,3,0.12566,0.02842,0.2229,14.0555,3.48692,25.7034,0.01596,*,20,4
Rotation,Gross Revenue,21,9,9,0.3725,0.1405,0.6045,47.17762,16.70393,85.60861,0.01433,*,20,4
Rotation,Profit,54,17,18,0.2719,0.02952,0.51428,58.18657,24.13817,101.57372,0.05076,"",18,4
Rotation,Cost,37,12,12,0.24612,0.08878,0.40346,28.80636,10.05389,50.75412,0.01039,*,21,4
Rotation,Benefit Cost Ratio,23,9,9,0.13284,-0.09138,0.35706,15.35452,-7.81567,44.34845,0.27873,"",20,4
Intercropping,Cost,109,12,12,0.35255,0.06814,0.63697,42.45415,7.19077,89.32028,0.03347,*,21,3
Intercropping,Gross Revenue,105,12,13,0.33503,0.13158,0.53848,40.91969,14.97793,72.71454,0.00728,**,20,3
Intercropping,Benefit Cost Ratio,118,13,13,0.02234,-0.2804,0.32507,3.1568,-23.78867,39.62778,0.88743,"",20,3
Reduced Erosion,Benefit Cost Ratio,25,4,7,0.20405,-0.12228,0.53038,25.91413,-9.14451,74.50095,0.26918,"",20,3
Reduced Tillage+Residue/Mulch,Gross Revenue,56,16,17,0.05713,-0.0137,0.12796,7.76255,0.39377,15.67218,0.11964,"",20,4
Reduced Tillage+Residue/Mulch,Benefit Cost Ratio,64,16,17,-0.01005,-0.19418,0.17409,-0.61957,-17.33261,19.47357,0.91614,"",20,4
Cover Crops,Gross Revenue,33,7,7,0.20267,0.06297,0.34237,36.08235,18.3398,56.485,0.00771,**,20,4
Cover Crops,Profit,28,9,9,0.14349,-0.11662,0.40359,18.50678,-8.63521,53.71038,0.31235,"",18,4
Cover Crops,Cost,31,8,8,0.23915,0.0776,0.40069,31.16751,11.60046,54.16372,0.0526,"",21,4
Cover Crops,Benefit Cost Ratio,23,7,7,-0.05729,-0.26368,0.1491,-5.11172,-22.80689,16.63976,0.60631,"",20,4
Biochar,Gross Revenue,79,9,11,0.13685,0.03024,0.24346,14.90724,3.28738,27.83434,0.02968,*,20,4
Biochar,Cost,78,9,11,0.31665,0.07318,0.56012,37.91605,8.11281,75.9351,0.02815,*,21,4
Biochar,Profit,91,10,12,0.10314,0.03672,0.16957,11.22667,4.079,18.8664,0.01204,*,18,4
Biochar,Benefit Cost Ratio,86,9,11,-0.53124,-1.27374,0.21125,-40.856,-71.85203,24.27106,0.19097,"",20,4
Reduced Erosion,Cost,11,3,3,0.17765,-0.15286,0.50816,19.93803,-13.81767,66.91508,0.40403,"",21,3
Reduced Erosion,Gross Revenue,11,3,3,0.17333,0.1371,0.20955,19.02579,14.79067,23.41593,0.03596,*,20,3
Biochar+Reduced Fert,Profit,19,3,5,0.10519,0.05746,0.15292,11.22111,6.03722,16.65842,0.00021,**,18,3
Biochar+Reduced Fert,Cost,19,3,5,-0.26742,-0.4414,-0.09344,-22.27475,-34.68641,-7.50448,0.00465,**,21,3
Biochar+Reduced Fert,Benefit Cost Ratio,45,4,6,-1.17971,-1.74062,-0.61881,-61.2225,-77.87009,-32.05217,0.00011,**,20,3
Reduced Irrigation+Reduced Tillage+Residue/Mulch,Gross Revenue,15,3,3,0.00686,-0.13653,0.15026,1.50217,-12.05688,17.15293,0.9345,"",20,4
Reduced Irrigation+Reduced Tillage+Residue/Mulch,Benefit Cost Ratio,25,3,3,0.2217,-0.11543,0.55882,28.05056,-8.59546,79.38695,0.32484,"",20,4
IPM,Profit,9,4,4,-0.03848,-0.51354,0.43658,-2.9928,-39.67629,55.99831,0.88439,"",18,3
IPM,Gross Revenue,6,3,3,0.03467,-0.08824,0.15759,3.94274,-8.07894,17.53782,0.50088,"",20,3
IPM,Cost,6,3,3,0.32359,0.02836,0.61882,41.4357,5.27913,90.00971,0.03722,*,21,3
